title,release_year,revenue,genres
Avengers: Endgame,2019.0,2800000000,"['Adventure', 'Science Fiction', 'Action']"
Avengers: Infinity War,2018.0,2052415039,"['Adventure', 'Action', 'Science Fiction']"
The Lion King,2019.0,1663075401,"['Adventure', 'Drama', 'Family']"
Frozen II,2019.0,1450026933,"['Family', 'Animation', 'Adventure', 'Comedy', 'Fantasy']"
Black Panther,2018.0,1349926083,"['Action', 'Adventure', 'Science Fiction']"
Star Wars: The Last Jedi,2017.0,1332698830,"['Adventure', 'Action', 'Science Fiction']"
Jurassic World: Fallen Kingdom,2018.0,1310466296,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
Beauty and the Beast,2017.0,1266115964,"['Family', 'Fantasy', 'Romance']"
Incredibles 2,2018.0,1242805359,"['Action', 'Adventure', 'Animation', 'Family']"
The Fate of the Furious,2017.0,1236005118,"['Action', 'Crime', 'Thriller']"
Aquaman,2018.0,1148528393,"['Action', 'Adventure', 'Fantasy']"
Spider-Man: Far From Home,2019.0,1131927996,"['Action', 'Adventure', 'Science Fiction']"
Captain Marvel,2019.0,1131416446,"['Action', 'Adventure', 'Science Fiction']"
Joker,2019.0,1074458282,"['Crime', 'Thriller', 'Drama']"
Star Wars: The Rise of Skywalker,2019.0,1074144248,"['Adventure', 'Action', 'Science Fiction']"
Toy Story 4,2019.0,1073394593,"['Family', 'Adventure', 'Animation', 'Comedy', 'Fantasy']"
Aladdin,2019.0,1054304000,"['Adventure', 'Fantasy', 'Romance', 'Family']"
Despicable Me 3,2017.0,1031552585,"['Action', 'Animation', 'Comedy', 'Family', 'Adventure']"
Jumanji: Welcome to the Jungle,2017.0,995339117,"['Adventure', 'Action', 'Comedy', 'Fantasy']"
Bohemian Rhapsody,2018.0,903992901,"['Music', 'Drama', 'History']"
Spider-Man: Homecoming,2017.0,880166924,"['Action', 'Adventure', 'Science Fiction', 'Drama']"
Wolf Warrior 2,2017.0,870322670,"['War', 'Action', 'Drama']"
Guardians of the Galaxy Vol. 2,2017.0,863756051,"['Science Fiction', 'Adventure', 'Action']"
Venom,2018.0,856085151,"['Science Fiction', 'Action']"
Thor: Ragnarok,2017.0,855301806,"['Action', 'Adventure', 'Science Fiction']"
Wonder Woman,2017.0,822854286,"['Action', 'Adventure', 'Fantasy']"
Jumanji: The Next Level,2019.0,801693929,"['Adventure', 'Comedy', 'Fantasy']"
Coco,2017.0,800526015,"['Family', 'Animation', 'Fantasy', 'Music', 'Comedy', 'Adventure']"
Pirates of the Caribbean: Dead Men Tell No Tales,2017.0,795922298,"['Adventure', 'Action', 'Fantasy']"
Mission: Impossible - Fallout,2018.0,791657398,"['Action', 'Adventure']"
Deadpool 2,2018.0,785896609,"['Action', 'Comedy', 'Adventure']"
Fast & Furious Presents: Hobbs & Shaw,2019.0,760098996,"['Action', 'Adventure', 'Comedy']"
Ne Zha,2019.0,742500000,"['Animation', 'Fantasy', 'Adventure']"
It,2017.0,701800000,"['Horror', 'Fantasy']"
Justice League,2017.0,657926987,"['Action', 'Adventure', 'Science Fiction']"
Fantastic Beasts: The Crimes of Grindelwald,2018.0,654855901,"['Fantasy', 'Adventure', 'Family']"
Ant-Man and the Wasp,2018.0,622674139,"['Action', 'Adventure', 'Science Fiction']"
Logan,2017.0,619021436,"['Action', 'Drama', 'Science Fiction']"
Ready Player One,2018.0,607274134,"['Adventure', 'Action', 'Science Fiction']"
Transformers: The Last Knight,2017.0,605425157,"['Action', 'Adventure', 'Science Fiction']"
Operation Red Sea,2018.0,579220560,"['Action', 'Thriller', 'War', 'Drama']"
Kong: Skull Island,2017.0,566652812,"['Action', 'Adventure', 'Fantasy']"
The Meg,2018.0,530517320,"['Action', 'Science Fiction', 'Horror']"
Ralph Breaks the Internet,2018.0,529323962,"['Family', 'Animation', 'Comedy', 'Adventure']"
Hotel Transylvania 3: Summer Vacation,2018.0,528600000,"['Animation', 'Comedy', 'Family', 'Fantasy']"
The Boss Baby,2017.0,527965936,"['Animation', 'Comedy', 'Family']"
Dunkirk,2017.0,527000000,"['War', 'Action', 'Drama']"
How to Train Your Dragon: The Hidden World,2019.0,524580592,"['Animation', 'Family', 'Adventure']"
The Grinch,2018.0,508575295,"['Animation', 'Family', 'Comedy', 'Fantasy']"
Maleficent: Mistress of Evil,2019.0,491730089,"['Family', 'Fantasy', 'Adventure', 'Action']"
War for the Planet of the Apes,2017.0,490719763,"['Drama', 'Science Fiction', 'War']"
It Chapter Two,2019.0,473122525,"['Horror', 'Fantasy']"
Bumblebee,2018.0,467989645,"['Action', 'Adventure', 'Science Fiction']"
"My People, My Country",2019.0,450064993,"['Drama', 'History']"
Pokémon Detective Pikachu,2019.0,449762638,"['Action', 'Adventure', 'Fantasy']"
A Star Is Born,2018.0,433888866,"['Music', 'Drama', 'Romance']"
The Greatest Showman,2017.0,432844677,['Drama']
Rampage,2018.0,428028233,"['Action', 'Adventure', 'Science Fiction']"
Kingsman: The Golden Circle,2017.0,410902662,"['Action', 'Adventure', 'Comedy']"
